REGIAO,FAIXA_ETARIA,Febre_Missing,Febre_No,Febre_Yes,Tosse_Missing,Tosse_No,Tosse_Yes,Garganta_Missing,Garganta_No,Garganta_Yes
Centro-Oeste,0 a 6 meses,9.918032786885247,26.010928961748636,64.07103825136612,3.4972677595628414,6.202185792349726,90.30054644808743,28.0327868852459,69.15300546448087,2.814207650273224
Centro-Oeste,1 a 4 anos,3.8509316770186333,6.70807453416149,89.44099378881988,3.4782608695652173,5.341614906832298,91.18012422360249,31.5527950310559,57.88819875776397,10.559006211180124
Centro-Oeste,4 a 6 anos,10.828025477707007,10.828025477707007,78.343949044586,6.369426751592357,5.095541401273886,88.53503184713377,31.210191082802545,59.87261146496815,8.9171974522293
Centro-Oeste,6 a 9 anos,8.13953488372093,15.11627906976744,76.74418604651163,5.813953488372093,9.30232558139535,84.88372093023256,29.069767441860467,55.81395348837209,15.11627906976744
Centro-Oeste,6 meses a 1 ano,5.083766608896592,8.434430964760255,86.48180242634315,4.043905257076834,3.3506643558636626,92.6054303870595,30.098209127671865,64.06701328711726,5.834777585210861
Centro-Oeste,60 a 70 anos,9.836065573770492,32.78688524590164,57.377049180327866,8.19672131147541,16.39344262295082,75.40983606557377,19.672131147540984,63.934426229508205,16.39344262295082
Centro-Oeste,70 a 80 anos,1.4925373134328357,55.223880597014926,43.28358208955223,4.477611940298507,14.925373134328357,80.59701492537313,8.955223880597014,73.13432835820896,17.91044776119403
Centro-Oeste,80 anos ou mais,8.064516129032258,43.54838709677419,48.38709677419355,1.6129032258064515,24.193548387096776,74.19354838709677,14.516129032258066,70.96774193548387,14.516129032258066
Centro-Oeste,9 a 12 anos,11.11111111111111,22.22222222222222,66.66666666666666,16.666666666666664,0.0,83.33333333333334,33.33333333333333,55.55555555555556,11.11111111111111
Nordeste,0 a 6 meses,9.963579604578564,26.76899063475546,63.26742976066597,2.3933402705515086,5.749219562955255,91.85744016649323,30.332986472424555,62.85119667013528,6.815816857440167
Nordeste,1 a 4 anos,5.359179019384264,7.525655644241732,87.115165336374,3.0786773090079818,4.903078677309008,92.01824401368302,25.313568985176737,60.889395667046756,13.797035347776509
Nordeste,4 a 6 anos,3.488372093023256,14.534883720930234,81.97674418604652,3.488372093023256,4.651162790697675,91.86046511627907,21.511627906976745,62.2093023255814,16.27906976744186
Nordeste,6 a 9 anos,4.464285714285714,25.0,70.53571428571429,4.464285714285714,9.821428571428571,85.71428571428571,18.75,64.28571428571429,16.964285714285715
Nordeste,6 meses a 1 ano,4.451682953311618,9.717698154180239,85.83061889250814,2.3344191096634095,3.691639522258415,93.97394136807817,26.167209554831704,62.920738327904445,10.912052117263844
Nordeste,60 a 70 anos,19.565217391304348,45.65217391304348,34.78260869565217,8.695652173913043,15.217391304347828,76.08695652173914,23.91304347826087,60.86956521739131,15.217391304347828
Nordeste,70 a 80 anos,32.075471698113205,33.9622641509434,33.9622641509434,18.867924528301888,9.433962264150944,71.69811320754717,39.62264150943396,39.62264150943396,20.754716981132077
Nordeste,80 anos ou mais,15.909090909090908,35.22727272727273,48.86363636363637,7.954545454545454,9.090909090909092,82.95454545454545,28.40909090909091,60.22727272727273,11.363636363636363
Nordeste,9 a 12 anos,25.806451612903224,22.58064516129032,51.61290322580645,9.67741935483871,9.67741935483871,80.64516129032258,29.03225806451613,61.29032258064516,9.67741935483871
